Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Random (No Terminate),0.5,2,0.0
,Random (No Terminate),0.5,3,0.0
,Random (No Terminate),0.5,3,0.0
,Random (No Terminate),0.5,3,0.0
,Random (No Terminate),0.5,4,0.0
,Random (No Terminate),0.5,4,0.0
,Random (No Terminate),0.5,4,0.0
,Random (No Terminate),0.5,5,0.0
,Random (No Terminate),0.5,5,0.0
,Random (No Terminate),0.5,6,0.0
,Random (No Terminate),0.5,6,0.0
,Random (No Terminate),0.5,9,0.0
,Random (No Terminate),0.5,9,0.0
,Random (No Terminate),0.5,17,0.0
,Random (No Terminate),0.5,20,0.0
,Random (No Terminate),0.5,81,1.0
,AStar,0.5,6,0.0
,AStar,0.5,6,0.0
,AStar,0.5,6,0.0
,AStar,0.5,7,0.0
,AStar,0.5,7,0.0
,AStar,0.5,8,0.0
,AStar,0.5,1,0.0
,AStar,0.5,10,0.0
,AStar,0.5,11,0.0
,AStar,0.5,12,0.0
,AStar,0.5,6,0.0
,AStar,0.5,13,0.0
,AStar,0.5,7,0.0
,AStar,0.5,9,0.0
,AStar,0.5,16,0.0
,AStar,0.5,6,0.0
,AStar,0.5,8,0.0
,AStar,0.5,6,0.0
,AStar,0.5,12,0.0
,AStar,0.5,18,0.0
,AStar,0.5,18,0.0
,AStar,0.5,18,0.0
,AStar,0.5,18,0.0
,AStar,0.5,22,0.0
