Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return
,Instant Terminate,1.0,6,10.0
,Instant Terminate,1.0,7,10.0
,Instant Terminate,1.0,8,10.0
,Instant Terminate,1.0,8,10.0
,Instant Terminate,1.0,9,0.0
,Instant Terminate,1.0,9,10.0
,Instant Terminate,1.0,10,10.0
,Instant Terminate,1.0,11,10.0
,Instant Terminate,1.0,11,0.0
,Instant Terminate,1.0,12,10.0
,Instant Terminate,1.0,12,0.0
,Instant Terminate,1.0,13,10.0
,Instant Terminate,1.0,15,0.0
,Instant Terminate,1.0,17,0.0
,Instant Terminate,1.0,18,10.0
,Instant Terminate,1.0,20,10.0
,Instant Terminate,1.0,22,0.0
,Instant Terminate,1.0,26,0.0
